,job_id,skills
1188,J286,Automation Testing
1189,J286,Performance Testing
1190,J286,Quality Assurance
1191,J286,SDET
1192,J287,MongoDB
1193,J287,MySQL
1194,J287,Oracle Database
1195,J287,PostgreSQL
1196,J287,SAP HANA
1197,J287,SQL Server
1198,J287,Oracle Data Guard
1199,J287,Oracle Data Pump
1200,J287,Oracle GoldenGate
1201,J287,Oracle RAC
1202,J288,Cloud Computing
1203,J288,Networking
1204,J288,Solution Architecture
1205,J288,Virtualization
1206,J288,AWS
1207,J288,Azure
1208,J288,Citrix XenServer
1209,J288,Google Cloud
1210,J288,Hyper-V
1211,J288,OpenStack
1212,J288,VMware ESX
1213,J288,VMware vSphere
1214,J290,Business Development
1215,J290,Corporate Sales
1216,J290,International Sales
1217,J290,Sales
1218,J291,CSS
1219,J291,HTML
1220,J291,JavaScript
1221,J291,React.js
1222,J291,Vue.js
1223,J292,Angular
1224,J292,C++
1225,J292,Java
1226,J292,JavaScript
1227,J292,Node.js
1228,J292,React.js
1229,J292,jQuery
1230,J293,Java
1231,J293,AWS
1232,J293,DevOps
1233,J293,Git
1234,J293,Jenkins
1235,J294,Visual Design
1236,J294,Graphic Design
1237,J294,UX Design
1238,J294,2D Animation
1239,J294,Game Design
1240,J295,Finance
1241,J295,GTM
1242,J295,Marketing
1243,J295,Product Management
1244,J295,Sales
1245,J295,UX Design
1246,J296,Big Data
1247,J296,Cloud Computing
1248,J296,Cloud Security
1249,J296,Enterprise Software
1250,J296,GTM
1251,J296,Google Cloud
1252,J296,Machine Learning
1253,J296,Product Management
1254,J296,Supply Chain Management
1255,J296,UX Design
1256,J297,Digital Marketing
1257,J297,Social Media Marketing
1258,J297,Brand Management
1259,J297,SEO
1260,J297,Instagram Marketing
1261,J298,Digital Marketing
1262,J298,Google Ads
1263,J298,Content Writing
1264,J299,CSS
1265,J299,HTML
1266,J299,JavaScript
1267,J299,Angular
1268,J299,Backbone.js
1269,J299,Ember.js
1270,J299,jQuery
1271,J299,React.js
1272,J299,Vue.js
1273,J300,Linux
1274,J300,Networking
1275,J300,Technical Support
1276,J300,Virtualization
1277,J300,Windows
1278,J300,Hyper-V
1279,J300,VMware ESX
1280,J300,VMware vSphere
1281,J301,SEO
1282,J301,Link Building
1283,J301,Google Search Console
1284,J302,Node.js
1285,J303,Brand Management
1286,J303,Digital Marketing
1287,J303,Social Media Marketing
1288,J303,Facebook Marketing
1289,J303,Marketing Communication
1290,J304,JavaScript
1291,J304,Ruby
1292,J304,Angular
1293,J304,React.js
1294,J305,Angular
1295,J305,Java
1296,J305,Spring Boot
1297,J305,Microservices
1298,J305,SQL
1299,J306,Microservices
1300,J306,Angular
1301,J307,SQL
1302,J307,Data Analysis
1303,J307,Python
1304,J307,Tableau
1305,J307,Statistics
1306,J308,Control-M
