,company_name,estab_year,employees_count,emp_overall_rating,emp_wl_bal_rating,emp_salary_n_benefits_rating,emp_comp_culture_rating,emp_career_growth_rating,emp_diversity_n_inclusion_rating,emp_likely_to_recomm_rating
120,Motilal Oswal Financial Services,1987,1000+,3.9,3.5,3.5,3.9,3.9,3.7,3.6
121,Nab,1981,1000+,3.8,3.8,3.5,3.8,3.7,4.0,4.0
122,Predators Network,2017,0 - 10,4.0,3.8,3.7,4.0,3.9,4.0,4.0
123,VMware,1998,1000+,4.5,4.2,4.4,4.5,4.2,4.5,4.6
124,Aerchain,2016,10 - 50,4.7,4.2,4.3,4.8,4.6,4.7,4.6
125,Exxat,2011,50 - 200,3.9,3.9,4.0,4.0,3.9,4.0,4.2
126,GrapeCity,1980,500 - 1000,3.7,4.0,3.3,3.5,3.2,3.6,3.4
127,Line,2019,50 - 200,4.0,4.2,3.7,3.8,3.8,3.7,4.3
128,sentra.world,2023,0 - 10,4.0,3.8,3.7,4.0,3.9,4.0,4.0
129,Simplify360,2012,50 - 200,4.5,4.6,4.0,4.6,4.3,4.6,5.0
130,Teamware Solutions,2003,1000+,4.6,4.5,4.2,4.4,4.5,4.4,4.9
131,Brandtorch,2019,10 - 50,4.0,3.8,3.7,4.0,3.9,4.0,4.0
132,DAZN,2007,1000+,2.7,3.3,2.8,2.6,2.7,3.2,1.9
133,SNVA Ventures,2009,500 - 1000,4.3,4.4,4.2,4.2,4.2,4.1,3.9
134,Spendflo,2020,10 - 50,5.0,5.0,5.0,5.0,5.0,4.7,5.0
135,The Famous,2021,0 - 10,3.4,3.3,2.8,3.7,3.6,2.6,2.8
136,3M,1902,1000+,3.8,3.8,3.9,3.9,3.6,3.9,3.8
137,Aavenir,2019,10 - 50,4.2,4.3,4.5,4.4,4.3,4.7,4.5
138,Angel One,1987,1000+,4.2,4.0,3.9,4.1,4.1,4.0,4.1
139,Apps10X,2018,10 - 50,5.0,5.0,4.8,5.0,5.0,5.0,5.0
